"","fileName","answer","guess1","guess2","guess3","guess4","guess5","confidence1","confidence2","confidence3","confidence4","confidence5"
"2018","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2018.jpg'",0,"11",21,22,25," 27","0.3047",0.273,0.1889,0.1006," 0.0783"
"2019","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2020.jpg'",0,"11",27,21,25," 22","0.3904",0.2098,0.1398,0.1373," 0.0799"
"2020","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2017.jpg'",0,"21",27,11,25," 22","0.3195",0.1813,0.1699,0.1641," 0.0975"
"2021","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2022.jpg'",0,"21",11,25,27," 22","0.3011",0.267,0.1819,0.1087," 0.0859"
"2022","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2021.jpg'",0,"21",11,27,25," 22","0.3592",0.2229,0.2084,0.099," 0.0550"
"2023","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2023.jpg'",0,"21",11,22,27," 25","0.3363",0.2171,0.1823,0.1452," 0.0692"
"2024","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2024.jpg'",0,"11",25,21,22," 27","0.3644",0.1928,0.1905,0.0917," 0.0775"
"2025","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2027.jpg'",0,"11",27,25,22," 21","0.3798",0.2724,0.1869,0.0985," 0.0372"
"2026","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2025.jpg'",0,"27",21,22,11," 25","0.3747",0.2757,0.1233,0.1111," 0.0848"
"2027","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2026.jpg'",0,"11",27,25,22," 21","0.4744",0.2876,0.0924,0.0689," 0.0480"
"2028","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2028.jpg'",0,"27",11,22,25," 21","0.5407",0.2291,0.0863,0.0828," 0.0385"
"2029","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2029.jpg'",0,"27",11,22,21," 25","0.3143",0.302,0.1869,0.0871," 0.0787"
"2030","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2031.jpg'",0,"27",11,25,22," 21","0.6494",0.1433,0.0689,0.0635," 0.0596"
"2031","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2030.jpg'",0,"27",25,22,21," 11","0.6139",0.1337,0.1012,0.0778," 0.0302"
"2032","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2032.jpg'",0,"27",25,11,22," 21","0.5692",0.1851,0.149,0.0483," 0.0299"
"2033","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2035.jpg'",0,"27",22,11,25," 21","0.5611",0.1489,0.1216,0.0735," 0.0481"
"2034","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2034.jpg'",0,"27",22,25,21," 11","0.5863",0.2255,0.0689,0.0529," 0.0384"
