,fileName,answer,guess1,guess2,guess3,guess4,guess5,confidence1,confidence2,confidence3,confidence4,confidence5
12,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0012.jpg',0,27,18,17,21,4,0.8083,0.1721,0.0101,0.0033,0.0026
14,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0013.jpg',0,23,3,5,27,13,0.8654,0.1164,0.0084,0.0046,0.0033
10,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0014.jpg',0,27,22,3,12,5,0.9931,0.0033,0.0013,0.001,0.0005
9,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0015.jpg',0,27,22,3,12,5,0.9959,0.0019,0.001,5.00E-04,0.0003
16,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0016.jpg',0,27,6,21,25,24,0.9063,0.0433,0.0231,0.0202,0.0024
17,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0017.jpg',0,27,25,6,22,24,0.9036,0.0626,0.0248,0.0015,0.0015
18,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0018.jpg',0,27,6,21,25,24,0.8317,0.1086,0.0188,0.0157,0.0082
19,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0019.jpg',0,27,25,1,24,6,0.3672,0.3312,0.2387,0.0141,0.0119
20,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0020.jpg',0,27,25,1,6,24,0.4176,0.3439,0.1631,0.024,0.012
21,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0021.jpg',0,27,25,1,6,24,0.4573,0.3027,0.1655,0.0212,0.0164
24,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0022.jpg',0,27,25,11,22,24,0.896,0.068,0.009,0.0087,0.0076
23,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0023.jpg',0,27,25,11,24,22,0.9083,0.0588,0.0081,0.0081,0.0076
22,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0024.jpg',0,27,25,11,24,22,0.9062,0.0627,0.0091,0.0067,0.0064
26,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0025.jpg',0,27,25,21,6,24,0.9805,0.0146,0.0037,4.00E-04,0.0002
25,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0026.jpg',0,27,25,21,24,6,0.9821,0.013,0.0033,4.00E-04,0.0003
28,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0027.jpg',0,27,25,21,24,17,0.9798,0.0133,0.0036,9.00E-04,0.0005
30,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0028.jpg',0,27,25,11,1,6,0.8374,0.0392,0.0387,0.0357,0.0259
29,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0029.jpg',0,27,25,1,11,6,0.8132,0.0513,0.0434,0.0401,0.028
27,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0030.jpg',0,27,25,11,1,6,0.841,0.0442,0.0391,0.0282,0.0264
33,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0031.jpg',0,27,1,25,21,11,0.8901,0.0463,0.0226,0.0152,0.012
31,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0032.jpg',0,27,1,25,21,24,0.913,0.0298,0.0199,0.0112,0.0062
34,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0033.jpg',0,27,1,25,21,24,0.974,0.007,0.0049,0.0041,0.0034
32,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0034.jpg',0,1,6,22,27,25,0.9187,0.0308,0.0211,0.0103,0.0073
37,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0035.jpg',0,1,6,22,27,25,0.936,0.0233,0.0138,0.0107,0.0084
38,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0036.jpg',0,1,6,22,27,21,0.9489,0.0222,0.0103,0.0055,0.0054
36,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0037.jpg',0,1,27,6,22,24,0.7478,0.086,0.0838,0.0302,0.0244
40,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0038.jpg',0,1,6,24,27,22,0.9274,0.0203,0.019,0.0124,0.0092
35,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0039.jpg',0,1,27,6,25,22,0.7488,0.1217,0.0507,0.027,0.0167
39,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0040.jpg',0,27,18,17,25,11,0.9134,0.0726,0.0079,0.0025,0.0015
43,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0041.jpg',0,27,22,3,4,25,0.9971,0.0024,3.00E-04,0,0
42,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0042.jpg',0,27,22,3,4,9,0.9973,0.0019,5.00E-04,0,0
49,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0043.jpg',0,12,0,4,27,24,0.8676,0.071,0.0262,0.0157,0.0116
41,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0044.jpg',0,24,27,4,17,22,0.5378,0.4489,0.0056,0.0039,0.002
50,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0045.jpg',0,27,22,3,25,4,0.997,0.0025,3.00E-04,1.00E-04,0.0001
51,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0046.jpg',0,27,18,17,20,4,0.6144,0.3518,0.0149,0.0056,0.0031
44,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0047.jpg',0,11,27,20,18,1,0.5925,0.1364,0.0922,0.0742,0.0453
45,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0048.jpg',0,4,27,3,22,12,0.987,0.0058,0.0049,0.0012,0.0003
46,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0049.jpg',0,27,4,18,1,11,0.4651,0.3482,0.1041,0.0637,0.0096
52,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0050.jpg',0,11,4,18,27,1,0.8159,0.0915,0.0697,0.0065,0.0046
47,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0051.jpg',0,4,24,27,12,17,0.9556,0.0259,0.0089,0.0057,0.0019
48,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0052.jpg',0,27,11,21,24,4,0.8645,0.0688,0.0155,0.0146,0.0122
54,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0053.jpg',0,11,27,1,17,24,0.4458,0.177,0.1353,0.1011,0.0525
55,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0054.jpg',0,1,27,24,17,11,0.78,0.132,0.0404,0.017,0.0099
56,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0055.jpg',0,1,27,25,24,22,0.7465,0.1965,0.0285,0.0212,0.0017
59,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0056.jpg',0,1,25,27,24,11,0.9702,0.0242,0.0033,0.0018,0.0004
53,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0057.jpg',0,1,18,24,22,25,0.9409,0.0214,0.0146,0.0067,0.0054
71,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0058.jpg',0,27,18,1,19,11,0.7736,0.1546,0.0303,0.0105,0.0075
63,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0059.jpg',0,27,18,3,12,22,0.9284,0.0295,0.0173,0.0097,0.0035
62,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0060.jpg',0,27,3,4,25,22,0.9952,0.0027,9.00E-04,5.00E-04,0.0003
60,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0061.jpg',0,4,27,3,22,25,0.5511,0.4332,0.0112,0.0011,0.001
57,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0062.jpg',0,27,22,3,4,24,0.9992,8.00E-04,1.00E-04,0,0
58,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0063.jpg',0,27,22,3,4,12,0.9986,9.00E-04,3.00E-04,0,0
66,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0064.jpg',0,27,18,1,4,3,0.7317,0.213,0.0368,0.0126,0.0019
64,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0065.jpg',0,1,27,18,17,10,0.4104,0.401,0.1691,0.0073,0.005
61,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0066.jpg',0,1,18,27,17,3,0.8201,0.094,0.0327,0.0218,0.0162
69,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0067.jpg',0,11,4,0,12,16,0.5593,0.2003,0.1224,0.0286,0.0241
65,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0068.jpg',0,4,11,24,27,12,0.8598,0.0845,0.0254,0.0132,0.0057
72,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0069.jpg',0,12,4,24,0,27,0.7476,0.1808,0.0609,0.0094,0.0006
67,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0070.jpg',0,1,27,4,17,21,0.6954,0.1677,0.0336,0.025,0.0142
74,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0071.jpg',0,1,27,25,6,8,0.8769,0.0929,0.0106,0.0045,0.004
